strategy,side,q,threshold,n,R2_cond,RRMSE_cond,MASE_cond,RMSE_pred,RMSE_bench,MAE_pred,MAE_bench,hit_rate_cond
dual_pls_0,up,0.05,0.07451725000000003,15,0.003327334302123952,0.9983349466476049,0.9963922983627903,0.08803330273118501,0.08818012734784016,0.08680589928369285,0.08712020298262732,0.8666666666666667
dual_pls_0,up,0.1,0.0569616,30,0.005454067759505854,0.9972692375885732,0.9951734107717704,0.07547484971765794,0.0756815179621487,0.07338347272759055,0.07373938243655513,0.9
dual_pls_0,up,0.15,0.045833650000000004,45,0.0011881728666275349,0.9994057369924251,0.9986457035033788,0.06747479072523507,0.06751491234009846,0.06473375971987273,0.06482154731430606,0.9111111111111111
dual_pls_0,up,0.2,0.03796580000000001,60,-0.0005812184658073871,1.0002905670183075,1.000221132483156,0.06128263626617487,0.061264834725821476,0.05775597474755146,0.05774320584905667,0.9166666666666666
dual_pls_0.05,down,0.05,-0.0803146,15,0.0545473086995969,0.972343916163619,0.9664278715516114,0.10176668294208159,0.10466120191670641,0.0989275986870236,0.10236418215897909,0.26666666666666666
dual_pls_0.05,down,0.1,-0.057458199999999994,30,0.03944388794352427,0.9800796457719525,0.9786120406768541,0.08823556253884889,0.09002897154276762,0.08544571263118798,0.08731316301002152,0.26666666666666666
dual_pls_0.05,down,0.15,-0.035815799999999995,45,0.04881268294753638,0.9752883250877473,0.9699100320240288,0.07768607592469327,0.07965447132539376,0.0735186457334205,0.07579944871793957,0.28888888888888886
dual_pls_0.05,down,0.2,-0.026538999999999997,60,0.04927178526668441,0.9750529291958029,0.9687005832399065,0.06948431211091088,0.07126209258016347,0.0637017434702359,0.06575999289396489,0.2833333333333333
dual_pls_0.05,up,0.05,0.07451725000000003,15,-0.057380160080643616,1.0282899202465439,1.0231128095334863,0.09067473611784065,0.08818012734784016,0.08913379564068344,0.08712020298262732,0.6666666666666666
dual_pls_0.05,up,0.1,0.0569616,30,-0.045691953156797194,1.0225908043576362,1.0159729923227756,0.07739122432792052,0.0756815179621487,0.07491722102610045,0.07373938243655513,0.6666666666666666
dual_pls_0.05,up,0.15,0.045833650000000004,45,-0.052460023084208496,1.0258947426925475,1.0207928633669916,0.06926319362305522,0.06751491234009846,0.06616937289084941,0.06482154731430606,0.7111111111111111
dual_pls_0.05,up,0.2,0.03796580000000001,60,-0.03607873522788507,1.0178795288382045,1.0035515377658262,0.062360221105069634,0.061264834725821476,0.05794828302534947,0.05774320584905667,0.75
dual_pls_0.1,down,0.05,-0.0803146,15,0.052659934536627095,0.9733139603762873,0.9683784400271935,0.10186820893529179,0.10466120191670641,0.09912726703377164,0.10236418215897909,0.26666666666666666
dual_pls_0.1,down,0.1,-0.057458199999999994,30,0.03862832669669802,0.9804956263560293,0.9793292351796403,0.08827301284301507,0.09002897154276762,0.08550833315171964,0.08731316301002152,0.23333333333333334
dual_pls_0.1,down,0.15,-0.035815799999999995,45,0.042122505353976436,0.9787121612844216,0.9758436527981681,0.07795879978684411,0.07965447132539376,0.07396841091700157,0.07579944871793957,0.24444444444444444
dual_pls_0.1,down,0.2,-0.026538999999999997,60,0.03889274535359344,0.9803607777988705,0.9781482717255029,0.06986256050946418,0.07126209258016347,0.06432302339791311,0.06575999289396489,0.23333333333333334
dual_pls_0.1,up,0.05,0.07451725000000003,15,-0.06411723443857009,1.0315605820496294,1.0259678400891146,0.09096314349214843,0.08818012734784016,0.08938252648221139,0.08712020298262732,0.6666666666666666
dual_pls_0.1,up,0.1,0.0569616,30,-0.0524565346075776,1.0258930424793697,1.0192417570639127,0.0776411427216458,0.0756815179621487,0.07515825771944228,0.07373938243655513,0.7333333333333333
dual_pls_0.1,up,0.15,0.045833650000000004,45,-0.05408052813877129,1.0266842397440272,1.0203889346845967,0.06931649644727864,0.06751491234009846,0.06614318960865194,0.06482154731430606,0.7777777777777778
dual_pls_0.1,up,0.2,0.03796580000000001,60,-0.034686796021717425,1.017195554464193,1.0012901984918148,0.06231831752808913,0.061264834725821476,0.05781770604615567,0.05774320584905667,0.8166666666666667
dual_pls_0.15,down,0.05,-0.0803146,15,0.08786969267582034,0.9550551331332552,0.9493818431860619,0.09995721813044654,0.10466120191670641,0.09718269593432537,0.10236418215897909,0.4
dual_pls_0.15,down,0.1,-0.057458199999999994,30,0.07826830220619063,0.9600685901506254,0.9579839486815649,0.08643398778177569,0.09002897154276762,0.08364460867221757,0.08731316301002152,0.3
dual_pls_0.15,down,0.15,-0.035815799999999995,45,0.08492922201690156,0.9565933190144589,0.9512954751189391,0.07619693509950046,0.07965447132539376,0.07210767258188598,0.07579944871793957,0.3111111111111111
dual_pls_0.15,down,0.2,-0.026538999999999997,60,0.08560426415869793,0.9562404173853467,0.9498257108896367,0.06814369315260874,0.07126209258016347,0.06246053199860766,0.06575999289396489,0.2833333333333333
dual_pls_0.15,up,0.05,0.07451725000000003,15,-0.10330421112033394,1.0503828878653412,1.0466138143168333,0.0926228968159579,0.08818012734784016,0.09118120794770435,0.08712020298262732,0.6
dual_pls_0.15,up,0.1,0.0569616,30,-0.08870624960787787,1.0434108728625928,1.0376667605975785,0.07896691871645158,0.0756815179621487,0.07651690610140614,0.07373938243655513,0.6666666666666666
dual_pls_0.15,up,0.15,0.045833650000000004,45,-0.10104452211235837,1.0493066863945726,1.045445661753804,0.07084384894980876,0.06751491234009846,0.06776740542791021,0.06482154731430606,0.6666666666666666
dual_pls_0.15,up,0.2,0.03796580000000001,60,-0.08036874938044702,1.0394078840284247,1.0256055290941106,0.06367915222771725,0.061264834725821476,0.05922175118641191,0.05774320584905667,0.7333333333333333
dual_pls_0.2,down,0.05,-0.0803146,15,0.012927028595089873,0.9935154610799523,0.9940175393215344,0.10398252227945856,0.10466120191670641,0.10175179246432971,0.10236418215897909,0.13333333333333333
